strain, s11, s22, s33, q, p, e
-0.0536, -866287, -264855, -264855, -601433, -465332, 0.67
-0.0537, -866079, -264751, -264751, -601328, -465194, 0.67
-0.0538, -865872, -264648, -264648, -601224, -465056, 0.67
-0.0539, -865665, -264546, -264546, -601119, -464919, 0.67
-0.054, -865459, -264444, -264444, -601015, -464782, 0.67
-0.0541, -865253, -264342, -264342, -600911, -464646, 0.67
-0.0542, -865047, -264241, -264241, -600806, -464510, 0.67
-0.0543, -864842, -264140, -264140, -600702, -464374, 0.67
-0.0544, -864638, -264040, -264040, -600598, -464239, 0.67
-0.0545, -864434, -263940, -263940, -600494, -464105, 0.67
-0.0546, -864230, -263840, -263840, -600390, -463970, 0.67
-0.0547, -864027, -263741, -263741, -600286, -463837, 0.67
-0.0548, -863825, -263643, -263643, -600182, -463704, 0.67
-0.0549, -863623, -263545, -263545, -600078, -463571, 0.67
-0.055, -863421, -263447, -263447, -599974, -463438, 0.67
-0.0551, -863220, -263349, -263349, -599871, -463306, 0.67
-0.0552, -863019, -263252, -263252, -599767, -463175, 0.67
-0.0553, -862819, -263156, -263156, -599663, -463044, 0.67
-0.0554, -862619, -263060, -263060, -599560, -462913, 0.67
-0.0555, -862420, -262964, -262964, -599456, -462783, 0.67
-0.0556, -862221, -262868, -262868, -599353, -462653, 0.67
-0.0557, -862023, -262773, -262773, -599249, -462523, 0.67
-0.0558, -861825, -262679, -262679, -599146, -462394, 0.67
-0.0559, -861627, -262585, -262585, -599042, -462265, 0.67
-0.056, -861430, -262491, -262491, -598939, -462137, 0.67
-0.0561, -861233, -262397, -262397, -598836, -462009, 0.67
-0.0562, -861037, -262304, -262304, -598733, -461882, 0.67
-0.0563, -860841, -262211, -262211, -598630, -461755, 0.67
-0.0564, -860646, -262119, -262119, -598527, -461628, 0.67
-0.0565, -860451, -262027, -262027, -598424, -461502, 0.67
-0.0566, -860256, -261935, -261935, -598321, -461376, 0.67
-0.0567, -860062, -261844, -261844, -598218, -461250, 0.67
-0.0568, -859868, -261753, -261753, -598115, -461125, 0.67
-0.0569, -859675, -261663, -261663, -598012, -461000, 0.67
-0.057, -859482, -261573, -261573, -597909, -460876, 0.67
-0.0571, -859289, -261483, -261483, -597807, -460752, 0.67
-0.0572, -859097, -261393, -261393, -597704, -460628, 0.67
-0.0573, -858906, -261304, -261304, -597601, -460505, 0.67
-0.0574, -858714, -261215, -261215, -597499, -460382, 0.67
-0.0575, -858523, -261127, -261127, -597396, -460259, 0.67
-0.0576, -858333, -261039, -261039, -597294, -460137, 0.67
-0.0577, -858143, -260951, -260951, -597192, -460015, 0.67
-0.0578, -857953, -260864, -260864, -597089, -459894, 0.67
-0.0579, -857764, -260777, -260777, -596987, -459772, 0.67
-0.058, -857575, -260690, -260690, -596885, -459652, 0.67
-0.0581, -857386, -260603, -260603, -596783, -459531, 0.67
-0.0582, -857198, -260517, -260517, -596681, -459411, 0.67
-0.0583, -857010, -260432, -260432, -596579, -459291, 0.67
-0.0584, -856823, -260346, -260346, -596477, -459172, 0.67
-0.0585, -856636, -260261, -260261, -596375, -459053, 0.67
-0.0586, -856449, -260176, -260176, -596273, -458934, 0.67
-0.0587, -856263, -260092, -260092, -596171, -458815, 0.67
-0.0588, -856077, -260008, -260008, -596069, -458697, 0.67
-0.0589, -855891, -259924, -259924, -595968, -458580, 0.67
-0.059, -855706, -259840, -259840, -595866, -458462, 0.67
-0.0591, -855521, -259757, -259757, -595765, -458345, 0.67
-0.0592, -855337, -259674, -259674, -595663, -458228, 0.67
-0.0593, -855153, -259591, -259591, -595562, -458112, 0.67
-0.0594, -854969, -259509, -259509, -595460, -457996, 0.67
-0.0595, -854786, -259427, -259427, -595359, -457880, 0.67
-0.0596, -854603, -259345, -259345, -595257, -457764, 0.67
-0.0597, -854420, -259264, -259264, -595156, -457649, 0.67
-0.0598, -854237, -259182, -259182, -595055, -457534, 0.67
-0.0599, -854055, -259102, -259102, -594954, -457420, 0.67
-0.06, -853874, -259021, -259021, -594853, -457305, 0.67
-0.0601, -853692, -258941, -258941, -594752, -457191, 0.67
-0.0602, -853511, -258861, -258861, -594651, -457078, 0.67
-0.0603, -853331, -258781, -258781, -594550, -456964, 0.67
-0.0604, -853150, -258701, -258701, -594449, -456851, 0.67
-0.0605, -852970, -258622, -258622, -594348, -456738, 0.67
-0.0606, -852791, -258543, -258543, -594247, -456626, 0.67
-0.0607, -852611, -258465, -258465, -594147, -456514, 0.67
-0.0608, -852432, -258386, -258386, -594046, -456402, 0.67
-0.0609, -852254, -258308, -258308, -593945, -456290, 0.67
-0.061, -852075, -258230, -258230, -593845, -456179, 0.67
-0.0611, -851897, -258153, -258153, -593744, -456068, 0.67
-0.0612, -851720, -258076, -258076, -593644, -455957, 0.67
-0.0613, -851542, -257999, -257999, -593544, -455846, 0.67
-0.0614, -851365, -257922, -257922, -593443, -455736, 0.67
-0.0615, -851188, -257845, -257845, -593343, -455626, 0.67
-0.0616, -851012, -257769, -257769, -593243, -455517, 0.67
-0.0617, -850836, -257693, -257693, -593143, -455407, 0.67
-0.0618, -850660, -257617, -257617, -593043, -455298, 0.67
-0.0619, -850484, -257542, -257542, -592943, -455189, 0.67
-0.062, -850309, -257467, -257467, -592843, -455081, 0.67
-0.0621, -850134, -257392, -257392, -592743, -454973, 0.67
-0.0622, -849960, -257317, -257317, -592643, -454865, 0.67
-0.0623, -849785, -257242, -257242, -592543, -454757, 0.67
-0.0624, -849611, -257168, -257168, -592443, -454649, 0.67
-0.0625, -849438, -257094, -257094, -592343, -454542, 0.67
-0.0626, -849264, -257020, -257020, -592244, -454435, 0.67
-0.0627, -849091, -256947, -256947, -592144, -454328, 0.67
-0.0628, -848918, -256874, -256874, -592045, -454222, 0.67
-0.0629, -848746, -256801, -256801, -591945, -454116, 0.67
-0.063, -848573, -256728, -256728, -591846, -454010, 0.67
-0.0631, -848402, -256655, -256655, -591746, -453904, 0.67
-0.0632, -848230, -256583, -256583, -591647, -453799, 0.67
-0.0633, -848058, -256511, -256511, -591548, -453693, 0.67
-0.0634, -847887, -256439, -256439, -591448, -453588, 0.67
-0.0635, -847716, -256367, -256367, -591349, -453484, 0.67
-0.0636, -847546, -256296, -256296, -591250, -453379, 0.67
-0.0637, -847376, -256225, -256225, -591151, -453275, 0.67
-0.0638, -847206, -256154, -256154, -591052, -453171, 0.67
-0.0639, -847036, -256083, -256083, -590953, -453067, 0.67
-0.064, -846866, -256012, -256012, -590854, -452964, 0.67
-0.0641, -846697, -255942, -255942, -590755, -452860, 0.67
-0.0642, -846528, -255872, -255872, -590656, -452757, 0.67
-0.0643, -846360, -255802, -255802, -590558, -452655, 0.67
-0.0644, -846191, -255732, -255732, -590459, -452552, 0.67
-0.0645, -846023, -255663, -255663, -590360, -452450, 0.67
-0.0646, -845855, -255593, -255593, -590262, -452347, 0.67
-0.0647, -845688, -255524, -255524, -590163, -452246, 0.67
-0.0648, -845520, -255456, -255456, -590065, -452144, 0.67
-0.0649, -845353, -255387, -255387, -589966, -452042, 0.67
-0.065, -845187, -255318, -255318, -589868, -451941, 0.67
-0.0651, -845020, -255250, -255250, -589770, -451840, 0.67
-0.0652, -844854, -255182, -255182, -589671, -451739, 0.67
-0.0653, -844688, -255114, -255114, -589573, -451639, 0.67
-0.0654, -844522, -255047, -255047, -589475, -451538, 0.67
-0.0655, -844356, -254979, -254979, -589377, -451438, 0.67
-0.0656, -844191, -254912, -254912, -589279, -451338, 0.67
-0.0657, -844026, -254845, -254845, -589181, -451239, 0.67
-0.0658, -843861, -254778, -254778, -589083, -451139, 0.67
-0.0659, -843697, -254712, -254712, -588985, -451040, 0.67
-0.066, -843532, -254645, -254645, -588887, -450941, 0.67
-0.0661, -843368, -254579, -254579, -588790, -450842, 0.67
-0.0662, -843204, -254513, -254513, -588692, -450743, 0.67
-0.0663, -843041, -254447, -254447, -588594, -450645, 0.67
-0.0664, -842878, -254381, -254381, -588496, -450547, 0.67
-0.0665, -842714, -254316, -254316, -588399, -450449, 0.67
-0.0666, -842552, -254250, -254250, -588301, -450351, 0.67
-0.0667, -842389, -254185, -254185, -588204, -450253, 0.67
-0.0668, -842227, -254120, -254120, -588107, -450156, 0.67
-0.0669, -842064, -254055, -254055, -588009, -450058, 0.67
-0.067, -841903, -253991, -253991, -587912, -449961, 0.67
-0.0671, -841741, -253926, -253926, -587815, -449864, 0.67
-0.0672, -841579, -253862, -253862, -587717, -449768, 0.67
